CustomerID,Full Name,Email,Phone,City,State,Country,Gender,Age,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Education,Occupation,LastUpdated,ReferrerID,PromotionalEmails,FeedbackRating,Last Purchase Date,Join Date,Account Creation Date
Cust_147,Katelyn Moreno,craig.compton@None,001-866-722-7984x5110,Lake Joseph,Massachusetts,Saudi Arabia,Female,43,6651.21,0,0,Bronze,Credit Card,Married,High School,Teacher,"? 45,311",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_161,Joseph Guerrero,christina.richards@None,782-617-3596x45832,Steinview,North Carolina,Grenada,Female,43,1851.53,0,0,Platinum,PayPal,Married,Master,Engineer,"? 45,487",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_168,Christine Carter,kristopher.daniels@None,381.281.1294,South Steven,New Hampshire,Turkmenistan,Male,43,6619.61,0,4,Bronze,Credit Card,Divorced,Master,Other,"? 45,485",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_280,Kelli Khan,jeffrey.rasmussen@gmail.com,901.233.9571x774,Samanthashire,Arkansas,Syrian Arab Republic,Female,43,315.91,0,0,Platinum,PayPal,Married,Bachelor,Doctor,"? 45,578",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_505,Aaron West,austin.schneider@gmail.com,001-705-573-4957,Kristinaland,Virginia,Seychelles,Male,43,7237.92,0,0,Platinum,PayPal,Married,High School,Other,"? 45,562",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_777,Jared Graham,william.lee@gmail.com,221-309-6985x4151,New Rachelmouth,Kansas,Korea,Female,43,5888.07,0,11,Bronze,PayPal,Married,Master,Other,"? 45,572",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_829,Kathleen Farrell,john.huang@gmail.com,444-747-1325x10108,North Julia,Arkansas,Iceland,Female,43,3625.89,0,0,Bronze,PayPal,Single,High School,Teacher,"? 45,576",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_937,Stephen Cook,michael.levine@gmail.com,(515)347-4935x99557,Choimouth,Washington,Wallis and Futuna,Female,43,4802.26,0,0,Bronze,PayPal,Single,Master,Other,"? 45,572",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_958,Stacey Thomas,matthew.stephens@None,8826211661,North Noah,Pennsylvania,Faroe Islands,Female,43,3023.76,0,10,Platinum,PayPal,Married,Master,Other,"? 45,419",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1008,Renee Carter,john.lang@outlook.com,759.581.0917x3124,New Stephanieside,Missouri,Armenia,Female,43,1008,0,4,Gold,Credit Card,Married,Master,Doctor,"? 45,424",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1138,Michael Vasquez,albert.baldwin@gmail.com,811.513.2678x154,Hicksburgh,Wyoming,Swaziland,Female,43,4814.01,0,12,Gold,PayPal,Married,Master,Doctor,"? 45,500",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1366,Sara Gonzalez,kendra.sanchez@gmail.com,(400)421-7862x072,Garrettland,Washington,Rwanda,Female,43,5618.52,0,0,Gold,PayPal,Divorced,Master,Teacher,"? 45,401",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1407,Sherry Wells,matthew.ellis@None,509.890.6434,North Cynthiastad,Illinois,Bolivia,Female,43,9267.2,0,8,Platinum,Debit Card,Single,Master,Other,"? 45,521",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1425,Robert Davis,jennifer.cox@gmail.com,522-368-0457x55579,West Albertport,Oregon,Tuvalu,Female,43,2595.89,0,0,Bronze,PayPal,Divorced,Master,Other,"? 45,489",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1484,Olivia Ross,lynn.davis@None,(526)350-0233,Sweeneytown,Arkansas,Uruguay,Female,43,7407.73,0,11,Bronze,Credit Card,Single,Bachelor,Engineer,"? 45,412",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1783,Erin Williams,jose.gonzalez@yahoo.com,(522)432-0044x064,Reginafurt,Wisconsin,Western Sahara,Female,43,9177.22,0,8,Bronze,PayPal,Single,Master,Engineer,"? 45,570",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1816,Debbie Shah,leslie.smith@gmail.com,001-718-942-7882x1194,Martinport,Virginia,Uzbekistan,Female,43,8604.95,0,7,Bronze,Credit Card,Single,Bachelor,Teacher,"? 45,499",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_1901,Robert Moore,samuel.cooper@yahoo.com,935.460.3533,Christopherbury,California,Malaysia,Female,43,7986.97,0,4,Bronze,PayPal,Married,Bachelor,Other,"? 45,477",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2057,Leon Ward,joseph.smith@None,351-701-0451x971,Cainbury,Illinois,Slovenia,Female,43,6650.07,0,11,Silver,Debit Card,Married,High School,Other,"? 45,441",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2082,Karen Williams,james.lee@yahoo.com,(820)232-4217x014,Tinaport,Maine,Hungary,Female,43,6059.45,0,0,Bronze,Debit Card,Divorced,Master,Teacher,"? 45,443",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2613,Dana Hart,chris.glover@gmail.com,(430)774-6838x176,North Marvinport,Montana,Kenya,Female,43,1672.83,0,0,Bronze,Credit Card,Single,Master,Engineer,"? 45,534",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2642,Brian Perry,gary.santiago@yahoo.com,491.434.8223x19699,Lake Patricia,Wisconsin,Ethiopia,Female,43,9801.56,0,0,Bronze,PayPal,Divorced,Bachelor,Other,"? 45,315",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2822,Christopher Franco,lisa.shaffer@outlook.com,618-920-0143x1327,Jeffreyside,Texas,Papua New Guinea,Female,43,1072.51,0,0,Bronze,Credit Card,Married,Master,Teacher,"? 45,339",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2892,Benjamin Moore,elizabeth.hamilton@outlook.com,001-689-530-9562x844,East Toniview,Tennessee,Saint Pierre and Miquelon,Female,43,9134.61,0,4,Silver,Debit Card,Divorced,Master,Teacher,"? 45,557",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_2905,Kristen Oconnell,clarence.cochran@None,793.293.3764x037,North Brandon,California,Luxembourg,Female,43,9443.28,0,0,Silver,Credit Card,Single,High School,Teacher,"? 45,545",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3046,Alicia Allen,james.garcia@gmail.com,(748)826-5728x88400,Jonesport,Montana,Samoa,Male,43,828.69,0,0,Platinum,Credit Card,Single,Master,Doctor,"? 45,557",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3495,Kenneth Foster,matthew.steele@gmail.com,(790)298-3005,East Marvin,Kentucky,Turkey,Female,43,1346.32,0,0,Platinum,PayPal,Married,Master,Other,"? 45,494",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3610,Jonathan Price,john.stone@gmail.com,777.461.6041,New Jeff,California,France,Female,43,5987.73,0,5,Silver,PayPal,Married,Master,Teacher,"? 45,417",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3640,Kathryn Ruiz,william.larson@gmail.com,767-260-9176,Lake Hannah,Pennsylvania,Bosnia and Herzegovina,Male,43,3928.06,0,7,Silver,PayPal,Married,Master,Teacher,"? 45,301",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3763,Nicolas Smith,jaclyn.lopez@outlook.com,(868)648-6355,New Justinmouth,New Jersey,French Southern Territories,Female,43,9627.9,0,0,Silver,Debit Card,Divorced,Master,Teacher,"? 45,466",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3836,Megan Garcia,anna.bishop@yahoo.com,+1-393-960-6485x7912,Evansfurt,Idaho,Saint Helena,Male,43,7445.52,0,0,Silver,Debit Card,Divorced,High School,Other,"? 45,490",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3839,Andrew Alvarado,henry.hill@gmail.com,623-891-2054,East Terri,Georgia,Antigua and Barbuda,Female,43,8739.95,0,0,Bronze,Credit Card,Married,Bachelor,Teacher,"? 45,571",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3957,Reginald Mayo,dawn.harper@yahoo.com,(980)927-7632x18883,Lake Anna,Minnesota,Moldova,Female,43,4713.59,0,1,Gold,Debit Card,Married,High School,Other,"? 45,397",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3966,Austin Smith,christopher.romero@yahoo.com,+1-596-724-6524x7459,Williamberg,Wyoming,Gabon,Male,43,7446.98,0,0,Platinum,Debit Card,Divorced,Bachelor,Engineer,"? 45,508",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_3985,Holly Sanchez,cheryl.price@gmail.com,661.610.5068x5226,Claytonport,New York,Sierra Leone,Female,43,582,0,8,Gold,Credit Card,Single,Bachelor,Engineer,"? 45,496",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4063,Brian James,gloria.pitts@outlook.com,798.466.1304,Port Martin,Idaho,Christmas Island,Male,43,7996.89,0,11,Silver,Credit Card,Married,Master,Teacher,"? 45,495",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4077,Joshua Austin,james.miller@outlook.com,001-273-758-9615x8923,South Christina,Oregon,Lesotho,Female,43,4912.9,0,0,Bronze,PayPal,Single,Master,Other,"? 45,481",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4111,Kimberly Freeman,christina.robbins@None,+1-413-679-0721x75730,West Emilyhaven,North Carolina,French Southern Territories,Female,43,7768.11,0,0,Bronze,PayPal,Single,High School,Engineer,"? 45,368",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4563,John Kim,helen.clark@None,586.225.8538,Brianburgh,Iowa,Denmark,Male,43,718.53,0,1,Silver,PayPal,Divorced,Master,Doctor,"? 45,311",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4676,Justin Martinez,lindsay.moyer@gmail.com,(659)777-0931x7570,Anthonyville,Florida,Saint Pierre and Miquelon,Male,43,7751.18,0,12,Platinum,PayPal,Married,Bachelor,Other,"? 45,528",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_4770,Chelsey Walter,david.lee@yahoo.com,293.968.8149,Shaneshire,Tennessee,Japan,Female,43,9451.54,0,0,Platinum,PayPal,Single,High School,Doctor,"? 45,482",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5058,Vanessa Jones,christopher.lee@yahoo.com,217.963.4616,North Deniseville,Massachusetts,Eritrea,Female,43,2511.21,0,11,Silver,Debit Card,Married,Master,Other,"? 45,403",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5087,Greg Soto,joshua.davis@yahoo.com,525-730-7174,Lake Isaacberg,Alaska,Italy,Female,43,7442.76,0,7,Bronze,Debit Card,Divorced,Bachelor,Other,"? 45,553",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5110,Elizabeth Williams,brian.carter@None,001-645-338-4388,Mcdanielville,Maryland,Armenia,Female,43,6966.01,0,11,Silver,PayPal,Married,High School,Other,"? 45,507",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5206,Miguel Martin,brandi.fernandez@yahoo.com,281.260.8613x3278,West Michael,Alaska,Austria,Female,43,6549.73,0,10,Bronze,Debit Card,Married,Bachelor,Teacher,"? 45,479",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5807,Natalie Garner,nancy.reese@yahoo.com,850.597.0539,Port Kristina,Missouri,Tanzania,Female,43,627.17,0,0,Silver,PayPal,Divorced,Master,Other,"? 45,403",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5827,Amy Anthony,christina.brady@yahoo.com,(413)862-1608x041,Martinezchester,Louisiana,Ireland,Female,43,9227.47,0,0,Platinum,Debit Card,Divorced,Master,Other,"? 45,312",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5831,Stephen Wright,cole.newman@gmail.com,(424)589-3759x9097,Davisfort,Utah,Macao,Female,43,4555.14,0,12,Bronze,Credit Card,Divorced,High School,Teacher,"? 45,472",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5910,Megan Molina,sean.davis@yahoo.com,840.610.0118x85147,Byrdshire,South Carolina,Algeria,Female,43,9759.25,0,0,Gold,PayPal,Single,Master,Engineer,"? 45,509",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_5979,Linda Luna,leslie.guerrero@yahoo.com,571-432-8271,South Georgeview,North Carolina,Macao,Male,43,9845.61,0,0,Gold,Debit Card,Divorced,High School,Doctor,"? 45,405",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6205,Jesse Wright,zachary.rocha@yahoo.com,+1-355-286-9872x15136,Colemantown,Connecticut,Peru,Female,43,8611.24,0,0,Gold,PayPal,Married,Master,Teacher,"? 45,552",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6410,Benjamin Cruz,raymond.smith@outlook.com,863-515-2982,Deniseton,Kentucky,Burundi,Female,43,4884.96,0,0,Bronze,Credit Card,Married,Master,Other,"? 45,580",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6617,Daniel Reeves,melissa.wilson@outlook.com,(999)702-8531x446,Deckertown,New Jersey,Canada,Female,43,5716.44,0,0,Bronze,Credit Card,Divorced,Master,Teacher,"? 45,429",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6652,Michelle Young,eric.lopez@yahoo.com,563.637.2201,Smithhaven,Tennessee,Marshall Islands,Female,43,4244.28,0,12,Gold,PayPal,Married,Bachelor,Engineer,"? 45,348",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6728,Brenda Singh,ryan.fisher@gmail.com,845-423-8544x478,Joshuaside,Rhode Island,Seychelles,Male,43,8724.39,0,2,Platinum,PayPal,Married,High School,Teacher,"? 45,562",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_6977,Michael Contreras,jerome.porter@gmail.com,995-793-9074,Tylermouth,Florida,Suriname,Male,43,5602.4,0,8,Gold,Credit Card,Married,Master,Doctor,"? 45,299",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7255,Alexander Davis,teresa.miller@gmail.com,422-568-7331,Port Catherine,Delaware,Burkina Faso,Male,43,5007.02,0,0,Bronze,Credit Card,Single,High School,Other,"? 45,417",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7360,Terri Hobbs,jessica.dillon@None,+1-772-247-6656x83252,Jonesport,Washington,Korea,Male,43,2973.25,0,0,Bronze,Debit Card,Divorced,Bachelor,Other,"? 45,509",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7443,Cheyenne Moore,richard.moore@gmail.com,(536)624-2196x62046,Connorfurt,Maine,Brazil,Female,43,4327.23,0,7,Gold,Credit Card,Married,Master,Engineer,"? 45,456",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7457,Timothy Sparks,erin.daniels@gmail.com,001-580-556-0542x57069,Pierceburgh,Minnesota,Mauritania,Male,43,5983.92,0,11,Gold,PayPal,Divorced,High School,Other,"? 45,523",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7708,Brooke Warner,lisa.guzman@gmail.com,682.749.6120,Port Diana,Alabama,Cayman Islands,Female,43,9317.18,0,7,Bronze,PayPal,Single,Master,Engineer,"? 45,337",unknown,FALSE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
Cust_7763,Sue Robertson,amber.martin@yahoo.com,781-247-3261x89957,Anthonyberg,Kansas,Paraguay,Female,43,2390.77,0,1,Gold,Credit Card,Single,Master,Teacher,"? 45,392",unknown,TRUE,2.93,24-Oct-24,24-Oct-24,24-Oct-24
